name,party,"Agriculture, Nutrition and Forestry",Appropriations,Armed Services,"Banking, Housing, and Urban Affairs",Budget,"Commerce, Science, and Transportation",Energy and Natural Resources,Environment and Public Works,Finance,Foreign Relations,"Health, Education, Labor and Pensions",Homeland Security and Governmental Affairs,Judiciary,Rules and Administration,Small Business and Entrepreneurship,Veterans' Affairs
Lamar Alexander,R,,1,,,,,,,,,1,,,,,
Heidi Heitkamp,D,1,,,1,,,,,,,,1,,,,
Joni Ernst,R,1,,1,,,,,,,,,,,,,
Joe Donnelly,D,,,1,1,,,,,,,,,,,,
Brian Schatz,D,,1,,,,1,,,,,,,,,,
Bill Nelson,D,,,1,,,1,,,,,,,,,,
Pat Toomey,R,,,,1,,,,,1,,,,,,,
Jeff Flake,R,,,,,,,1,,,1,,,1,,,
Mike Crapo,R,,,,1,,,,,,,,,,,,
Patty Murray,D,,1,,,,,,,,,1,,,,,
Edward Markey,D,,,,,,,,,,1,,,,,,
Shelley Moore Capito,R,,1,,,,,,1,,,,,,,,
Jeff Merkley,D,,1,,,,,,,,1,,,,,,
Chuck Grassley,R,,,,,,,,,,,,,1,,,
Angus King,I,,,1,,,,1,,,,,,,,,
Cory Gardner,R,,,,,,,1,,,1,,,,,,
Thom Tillis,R,,,1,,,,,,,,,,,,,
Kirsten Gillibrand,D,1,,1,,,,,,,,,,,,,
Mike Lee,R,,,,,,,1,,,,,,1,,,
Maria Cantwell,D,,,,,,1,1,,,,,,,,,
Amy Klobuchar,D,,,,,,,,,,,,,1,1,,
Jim Inhofe,R,,,1,,,,,1,,,,,,,,
Dan Sullivan,R,,,,,,1,,,,,,,,,,
Marco Rubio,R,,,,,,,,,,1,,,,,,
Kamala Harris,D,,,,,,,,1,,,,,,,,
Pat Roberts,R,1,,,,,,,,,,,,,,,
Patrick Leahy,D,,1,,,,,,,,,,,,,,
Dick Durbin,D,,1,,,,,,,,,,,1,,,
Sheldon Whitehouse,D,,,,,,,,1,,,,,1,,,
Johnny Isakson,R,,,,,,,,,,1,1,,,,,1
Ron Wyden,D,,,,,,,1,,1,,,,,,,
Ed Markey,D,,,,,,1,,,,,,,,,,
Cory Booker,D,,,,,,1,,,,1,,,,,,
Mark Warner,D,,,,1,,,,,1,,,,,,,
Jim Risch,R,,,,,,,,,,1,,,,,1,
John Boozman,R,1,1,,,,,,1,,,,,,,,
Chris Coons,D,,1,,,,,,,,,,,1,,,
Dianne Feinstein,D,,1,,,,,,,,,,,1,,,
Lindsey Graham,R,,1,,,,,,,,,,,1,,,
Jon Tester,D,,1,,,,,,,,,,,,,,1
John Cornyn,R,,,,,,,,,1,,,,1,,,
Gary Peters,D,,,,,,1,,,,,,1,,,,
James Lankford,R,,1,,,,,,,,,,1,,,,
Bob Corker,R,,,,,,,,,,1,,,,,,
Mike Rounds,R,,,1,,,,,1,,,,,,,,
Rand Paul,R,,,,,,,,,,,1,1,,,,
Roger Wicker,R,,,1,,,1,,,,,,,,,,
Tim Kaine,D,,,1,,,,,,,1,,,,,,
Bernie Sanders,I,,,,,1,,,,,,1,,,,,
Ben Sasse,R,,,,1,,,,,,,,,1,,,
Orrin Hatch,R,,,,,,,,,1,,,,,,,
David Perdue,R,1,,,,,,,,,,,,,,,
Tom Udall,D,,1,,,,,,,,,,,,,,
Ron Johnson,R,,,,,,,,,,1,,1,,,,
Susan Collins,R,,1,,,,,,,,,,,,,,
Roy Blunt,R,,1,,,,1,,,,,,,,,,
Robert Menendez,D,,,,1,,,,,,,,,,,,
John Hoeven,R,,1,,,,,,,,,,,,,,
John Thune,R,,,,,,1,,,,,,,,,,
Dean Heller,R,,,,1,,,,,1,,,,,,,
"Bob Casey, Jr.",D,1,,,,,,,,1,,1,,,,,
Tim Scott,R,,,,1,,,,,1,,,,,,,
